uuid,path,frame_count
Q0,Q0,415
Q1,Q1,382
Q2,Q2,347
Q3,Q3,303
Q4,Q4,244
Q5,Q5,568
Q6,Q6,388
Q7,Q7,390
Q8,Q8,373
Q9,Q9,472
Q10,Q10,420
Q11,Q11,516
Q12,Q12,565
Q13,Q13,538
Q14,Q14,428
Q15,Q15,441
Q16,Q16,585
Q17,Q17,336
Q18,Q18,650
Q19,Q19,308
Q20,Q20,441
Q21,Q21,368
Q22,Q22,459
Q23,Q23,295
Q24,Q24,297
Q25,Q25,381
Q26,Q26,475
Q30,Q30,1395
Q31,Q31,988
Q32,Q32,147
Q33,Q33,109
Q34,Q34,120
Q35,Q35,151
Q36,Q36,735
Q37,Q37,755
Q38,Q38,699
Q39,Q39,798
Q40,Q40,746
Q41,Q41,619
Q42,Q42,605
Q43,Q43,754
Q44,Q44,1662
Q45,Q45,808
Q46,Q46,659
Q47,Q47,725
Q48,Q48,979
Q49,Q49,311
Q50,Q50,274
Q54,Q54,906
Q55,Q55,876
Q56,Q56,914
Q57,Q57,803
Q58,Q58,1181
Q59,Q59,1365
Q60,Q60,952
Q61,Q61,1104
Q62,Q62,1126
Q63,Q63,631
Q64,Q64,514
Q65,Q65,543
Q66,Q66,319
Q67,Q67,195
Q68,Q68,307
Q69,Q69,1086
Q70,Q70,1106
Q71,Q71,1960
Q72,Q72,153
Q73,Q73,242
Q74,Q74,216
Q75,Q75,321
Q76,Q76,336
Q77,Q77,215
Q78,Q78,396
Q79,Q79,382
Q80,Q80,245
Q81,Q81,1100
Q82,Q82,1309
Q83,Q83,1101
Q84,Q84,849
Q85,Q85,867
Q86,Q86,807
Q87,Q87,223
Q88,Q88,243
Q89,Q89,140
Q90,Q90,435
Q91,Q91,373
Q92,Q92,496
Q93,Q93,588
Q94,Q94,352
Q95,Q95,466
Q96,Q96,615
Q97,Q97,533
Q98,Q98,528
Q99,Q99,406
Q100,Q100,347
Q101,Q101,283
Q102,Q102,584
Q103,Q103,527
Q104,Q104,703
Q105,Q105,1398
Q106,Q106,1442
Q107,Q107,1375
Q108,Q108,505
Q109,Q109,663
Q110,Q110,860
Q111,Q111,687
Q112,Q112,790
Q113,Q113,948
Q114,Q114,1018
Q115,Q115,593
Q116,Q116,834
Q117,Q117,516
Q118,Q118,651
Q119,Q119,563
R0,R0,179
R1,R1,103
R2,R2,195
R3,R3,173
R4,R4,172
R5,R5,148
R6,R6,126
R7,R7,170
R8,R8,149
R10,R10,834
R11,R11,1332
R12,R12,660
R13,R13,564
R14,R14,453
R15,R15,692
R16,R16,91
R18,R18,833
R19,R19,590
R20,R20,927
R21,R21,145
R22,R22,131
R23,R23,1169
R24,R24,64
R25,R25,97
R26,R26,209
R27,R27,1026
R28,R28,977
R29,R29,140
R30,R30,307
R31,R31,288
R32,R32,401
R33,R33,207
R34,R34,465
R35,R35,1139
R36,R36,487
R37,R37,605
R38,R38,594
R39,R39,327

