query_id,reference_id
Q0,R0
Q1,R0
Q2,R0
Q3,R1
Q4,R1
Q5,R1
Q6,R2
Q7,R2
Q8,R2
Q9,R3
Q10,R3
Q11,R3
Q12,R4
Q13,R4
Q14,R4
Q15,R5
Q16,R5
Q17,R5
Q18,R6
Q19,R6
Q20,R6
Q21,R7
Q22,R7
Q23,R7
Q24,R8
Q25,R8
Q26,R8
Q30,R10
Q31,R10
Q32,R10
Q33,R11
Q34,R11
Q35,R11
Q36,R12
Q37,R12
Q38,R12
Q39,R13
Q40,R13
Q41,R13
Q42,R14
Q43,R14
Q44,R14
Q45,R15
Q46,R15
Q47,R15
Q48,R16
Q49,R16
Q50,R16
Q54,R18
Q55,R18
Q56,R18
Q57,R19
Q58,R19
Q59,R19
Q60,R20
Q61,R20
Q62,R20
Q63,R21
Q64,R21
Q65,R21
Q66,R22
Q67,R22
Q68,R22
Q69,R23
Q70,R23
Q71,R23
Q72,R24
Q73,R24
Q74,R24
Q75,R25
Q76,R25
Q77,R25
Q78,R26
Q79,R26
Q80,R26
Q81,R27
Q82,R27
Q83,R27
Q84,R28
Q85,R28
Q86,R28
Q87,R29
Q88,R29
Q89,R29
Q90,R30
Q91,R30
Q92,R30
Q93,R31
Q94,R31
Q95,R31
Q96,R32
Q97,R32
Q98,R32
Q99,R33
Q100,R33
Q101,R33
Q102,R34
Q103,R34
Q104,R34
Q105,R35
Q106,R35
Q107,R35
Q108,R36
Q109,R36
Q110,R36
Q111,R37
Q112,R37
Q113,R37
Q114,R38
Q115,R38
Q116,R38
Q117,R39
Q118,R39
Q119,R39
